"date","name","Age","Pos","Squad","MP","Min","G.A","xG.xAG","KP","Tkl.Int","Save.","value","JoueEurope"
2025-06-02,"Ayanda Sishuba",19,"FW","Rennes",1,3,0,0,0,1,0,1500000,FALSE
2025-05-25,"Axel Camblan",20,"MF","Brest",2,26,0,0.17,0,1,0,5e+05,FALSE
2025-06-02,"Aurélio Buta",27,"DF","Reims",27,1970,1,0.05,10,59,0,5e+06,FALSE
2025-06-02,"Augustine Boakye",23,"FW","Saint-Étienne",17,733,3,0.34,13,13,0,2500000,FALSE
2025-06-02,"Assane Dioussé",26,"MF","Auxerre",17,663,0,0.04,2,27,0,7e+05,FALSE
2025-06-02,"Arthur Desmas",30,"GK","Le Havre",18,1620,0,0,1,0,61.3,1200000,FALSE
2025-06-02,"Arouna Sangante",22,"DF","Le Havre",16,1244,3,0.08,3,46,0,8e+06,FALSE
2025-06-02,"Aron Dønnum",26,"DF","Toulouse",32,2689,4,0.22,45,84,0,4e+06,FALSE
2025-06-02,"Arnaud Kalimuendo",22,"FW","Rennes",33,2578,20,0.59,19,23,0,2.2e+07,FALSE
2025-06-02,"Arnau Tenas",23,"GK","Paris S-G",1,90,1,0.21,2,0,75,3e+06,TRUE
2025-06-02,"Aristide Zossou",19,"MF","Auxerre",3,16,0,0,0,0,0,1e+05,FALSE
2025-06-02,"Antoine Mendy",20,"DF","Nice",18,825,0,0.07,2,38,0,2500000,TRUE
2025-06-02,"Antoine Joujou",21,"MF","Le Havre",26,943,2,0.35,15,25,0,2e+06,FALSE
2025-06-02,"Anthony Rouault",23,"DF","Rennes",11,972,0,0.05,1,20,0,1e+07,FALSE
2025-06-02,"Anthony Lopes",33,"GK","Nantes",18,1563,0,0,0,2,69,1200000,FALSE
2025-06-02,"Anthony Briançon",29,"DF","Saint-Étienne",1,1,0,0,0,0,0,4e+05,FALSE
2025-06-02,"Angelo Fulgini",27,"MF","Lens",23,1045,2,0.53,28,16,0,5e+06,FALSE
2025-06-02,"Angel Gomes",23,"MF","Lille",14,736,2,0.47,14,10,0,2e+07,TRUE
2025-06-02,"Ange Martial Tia",17,"MF","Reims",6,171,0,0.7,2,6,0,3e+05,FALSE
2025-06-02,"Andy Diouf",21,"MF","Lens",34,2225,3,0.23,33,52,0,1.5e+07,FALSE
2025-09-09,"Andy Delort",32,"FW","Montpellier",9,607,0,0.38,7,4,0,0,FALSE
2025-06-02,"Andrey Santos",20,"MF","Strasbourg",32,2855,13,0.27,27,142,0,3.5e+07,TRUE
2025-06-02,"Andrew Omobamidele",22,"DF","Strasbourg",10,539,0,0,0,15,0,8e+06,TRUE
2025-06-22,"André Gomes",31,"MF","Lille",20,1276,0,0.09,10,33,0,2500000,TRUE
2025-06-02,"André Ayew",34,"FW","Le Havre",27,1453,5,0.28,8,21,0,6e+05,FALSE
2025-06-02,"Anass Zaroury",23,"FW","Lens",28,1405,4,0.29,35,29,0,8e+06,FALSE
2025-06-16,"Amine Salama",24,"FW","Reims",17,373,0,0.25,5,4,0,1500000,FALSE
2025-06-02,"Amine Harit",27,"MF","Marseille",13,519,6,0.56,19,11,0,8e+06,TRUE
2025-06-02,"Amine Gouiri",24,"FW","Marseille",14,1048,13,1.04,26,6,0,3e+07,TRUE
2025-06-02,"Amidou Doumbouya",16,"DF","Nice",2,46,0,0,0,2,0,2e+05,TRUE
2025-06-02,"Amar Dedić",21,"DF","Marseille",10,314,1,0.51,4,8,0,1.2e+07,TRUE
2025-06-02,"Amadou Koné",19,"MF","Reims",24,1293,0,0.06,8,68,0,4e+06,FALSE
2025-06-02,"Alidu Seidu",24,"DF","Rennes",11,803,0,0.05,5,36,0,9e+06,FALSE
2025-06-02,"Ali Abdi",30,"DF","Nice",25,1393,7,0.4,20,63,0,3e+06,TRUE
2025-06-02,"Alexandre Lacazette",33,"FW","Lyon",30,2051,17,0.86,26,21,0,6e+06,TRUE
2025-06-23,"Álex Domínguez",26,"GK","Toulouse",1,19,0,0,0,0,0,3e+05,FALSE
2025-06-02,"Aleksandr Golovin",28,"MF","Monaco",19,1153,3,0.37,24,50,0,2e+07,TRUE
2025-06-02,"Alban Lafont",25,"GK","Nantes",12,1080,0,0,2,1,67.3,3e+06,FALSE
2025-06-08,"Akor Adams",24,"FW","Montpellier",15,1075,4,0.44,12,5,0,5e+06,FALSE
2025-06-02,"Aïssa Mandi",32,"DF","Lille",24,1733,0,0.04,5,46,0,1200000,TRUE
2025-06-02,"Ainsley Maitland-Niles",26,"DF","Lyon",32,1985,5,0.29,27,96,0,1.2e+07,TRUE
2025-06-11,"Adryelson",26,"DF","Lyon",1,1,0,0,0,1,0,3500000,TRUE
2025-06-02,"Adrien Truffert",22,"DF","Rennes",33,2752,4,0.18,39,88,0,1.5e+07,FALSE
2025-06-02,"Adrien Thomasson",30,"MF","Lens",33,2615,10,0.41,56,109,0,5e+06,FALSE
2025-06-02,"Adrien Rabiot",29,"MF","Marseille",29,2485,13,0.4,28,70,0,2.5e+07,TRUE
2025-06-02,"Ado Onaiwu",28,"MF","Auxerre",31,957,5,0.47,10,14,0,1500000,FALSE
2025-06-02,"Achraf Hakimi",25,"DF","Paris S-G",25,2066,10,0.4,50,79,0,8e+07,TRUE
2025-06-05,"Abner",24,"DF","Lyon",19,1090,2,0.14,11,34,0,1e+06,TRUE
2025-05-29,"Abdukodir Khusanov",20,"DF","Lens",13,975,0,0.05,2,41,0,3.5e+07,FALSE
2025-06-02,"Abdoulaye Touré",30,"MF","Le Havre",28,2324,11,0.38,7,95,0,3e+06,FALSE
2025-06-02,"Abdoulaye Bamba",34,"DF","Angers",19,1510,0,0.02,6,41,0,3e+05,FALSE
2025-06-02,"Abdoul Koné",19,"DF","Reims",4,133,0,0,0,6,0,4e+05,FALSE
2025-06-02,"Abdallah Sima",23,"FW","Brest",27,1238,9,0.5,13,16,0,9e+06,FALSE
2025-06-02,"Abakar Sylla",21,"DF","Strasbourg",21,950,1,0.05,1,38,0,1e+07,TRUE
